nama,tipe,provinsi,lat,lon,sumber
Aceh Barat,kabupaten,Aceh,4.45,96.1667,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Tanah Bumbu Batulicin,kabupaten,Kalimantan Selatan,-3.45,115.9833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Tanah Laut Pelaihari,kabupaten,Kalimantan Selatan,-3.8,114.7667,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Tapin Rantau,kabupaten,Kalimantan Selatan,-2.9167,115.15,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Barito Selatan Buntok,kabupaten,Kalimantan Tengah,-1.7167,114.8333,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Barito Utara Muara Teweh,kabupaten,Kalimantan Tengah,-0.95,114.9,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kapuas Kuala Kapuas,kabupaten,Kalimantan Tengah,-3.0,114.3833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Katingan Kasongan,kabupaten,Kalimantan Tengah,-1.9,113.3833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Palangka Raya,kota,Kalimantan Tengah,-2.2083,113.9167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kotawaringin Barat Pangkalan Bun,kabupaten,Kalimantan Tengah,-2.6833,111.6167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kotawaringin Timur Sampit,kabupaten,Kalimantan Tengah,-2.5333,112.95,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Lamandau Nanga Bulik,kabupaten,Kalimantan Tengah,-1.8333,111.2833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Murung Raya Puruk Cahu,kabupaten,Kalimantan Tengah,-0.6167,114.5833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Sukamara,kabupaten,Kalimantan Tengah,-2.6333,111.2333,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Berau Tanjung Redeb,kabupaten,Kalimantan Timur,2.15,117.4833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Balikpapan,kota,Kalimantan Timur,-1.2654,116.8312,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Bontang,kota,Kalimantan Timur,0.1333,117.5,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Samarinda,kota,Kalimantan Timur,-0.5022,117.1536,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kutai Barat Sendawar,kabupaten,Kalimantan Timur,-0.2333,115.7,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kutai Kartanegara Tenggarong,kabupaten,Kalimantan Timur,-0.4167,116.9833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kutai Timur Sangatta,kabupaten,Kalimantan Timur,0.5333,117.55,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Mahakam Ulu Ujoh Bilang,kabupaten,Kalimantan Timur,0.7,115.3,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Paser Tanah Grogot,kabupaten,Kalimantan Timur,-1.9,116.15,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Penajam Paser Utara (IKN),kabupaten,Kalimantan Timur,-1.2833,116.7167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Bulungan Tanjung Selor,kabupaten,Kalimantan Utara,2.85,117.3667,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Tarakan,kota,Kalimantan Utara,3.3,117.6333,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Malinau,kabupaten,Kalimantan Utara,3.5833,116.6333,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Nunukan,kabupaten,Kalimantan Utara,4.1333,117.6667,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Tana Tidung Tideng Pale,kabupaten,Kalimantan Utara,3.55,117.25,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Bangka,kabupaten,Kepulauan Bangka Belitung,-1.85,106.1167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Bangka Barat,kabupaten,Kepulauan Bangka Belitung,-2.0667,105.1667,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Bangka Selatan,kabupaten,Kepulauan Bangka Belitung,-2.9833,106.45,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Bangka Tengah,kabupaten,Kepulauan Bangka Belitung,-2.4833,106.2167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Belitung,kabupaten,Kepulauan Bangka Belitung,-2.7333,107.65,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Belitung Timur,kabupaten,Kepulauan Bangka Belitung,-2.8833,108.2667,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Pangkal Pinang,kota,Kepulauan Bangka Belitung,-2.1333,106.1167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Bintan,kabupaten,Kepulauan Riau,1.15,104.55,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Karimun,kabupaten,Kepulauan Riau,0.9833,103.4333,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kepulauan Anambas,kabupaten,Kepulauan Riau,3.1,106.25,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Batam,kota,Kepulauan Riau,1.1301,104.0529,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Tanjung Pinang,kota,Kepulauan Riau,0.9167,104.45,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Lingga,kabupaten,Kepulauan Riau,-0.2,104.6,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Natuna,kabupaten,Kepulauan Riau,3.9,108.25,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Bandar Lampung,kota,Lampung,-5.4292,105.2625,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Metro,kota,Lampung,-5.1133,105.3067,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Lampung Barat,kabupaten,Lampung,-5.0333,104.1,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Lampung Selatan,kabupaten,Lampung,-5.7333,105.5833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Lampung Tengah,kabupaten,Lampung,-4.95,105.2,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Lampung Timur,kabupaten,Lampung,-5.1,105.6833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Pesawaran,kabupaten,Lampung,-5.4333,105.1833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Pesisir Barat Krui,kabupaten,Lampung,-5.2,103.9333,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Pringsewu,kabupaten,Lampung,-5.35,104.9833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Tanggamus,kabupaten,Lampung,-5.5,104.6833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Buru Namlea,kabupaten,Maluku,-3.25,127.0833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kepulauan Aru Dobo,kabupaten,Maluku,-5.75,134.2167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kepulauan Tanimbar Saumlaki,kabupaten,Maluku,-7.9833,131.3,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Ambon,kota,Maluku,-3.6954,128.1814,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Tual,kota,Maluku,-5.6333,132.75,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Maluku Barat Daya Tiakur,kabupaten,Maluku,-8.15,127.95,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Maluku Tengah Masohi Banda,kabupaten,Maluku,-3.29,128.95,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Maluku Tenggara Langgur Kei,kabupaten,Maluku,-5.6667,132.7333,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Seram Bagian Barat Piru,kabupaten,Maluku,-3.0833,128.25,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Seram Bagian Timur Bula,kabupaten,Maluku,-3.05,130.5,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Halmahera Barat Jailolo,kabupaten,Maluku Utara,1.0667,127.4667,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Halmahera Selatan Labuha Bacan,kabupaten,Maluku Utara,-0.6333,127.5,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Halmahera Tengah Weda,kabupaten,Maluku Utara,0.45,127.9167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Halmahera Timur Maba,kabupaten,Maluku Utara,0.7,128.3,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Halmahera Utara Tobelo,kabupaten,Maluku Utara,1.7333,128.0,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kepulauan Sula Sanana,kabupaten,Maluku Utara,-2.0,125.9833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Ternate,kota,Maluku Utara,0.7833,127.3667,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Tidore Kepulauan,kota,Maluku Utara,0.6833,127.4,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Pulau Morotai Daruba,kabupaten,Maluku Utara,2.05,128.2833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Pulau Taliabu Bobong,kabupaten,Maluku Utara,-1.8333,124.4833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Bima,kabupaten,Nusa Tenggara Barat,-8.5833,118.7167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Dompu,kabupaten,Nusa Tenggara Barat,-8.5333,118.4667,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Bima,kota,Nusa Tenggara Barat,-8.45,118.7333,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Mataram,kota,Nusa Tenggara Barat,-8.5833,116.1167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Lombok Barat,kabupaten,Nusa Tenggara Barat,-8.6833,116.1333,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Lombok Tengah,kabupaten,Nusa Tenggara Barat,-8.7,116.2833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Lombok Timur,kabupaten,Nusa Tenggara Barat,-8.65,116.5333,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Lombok Utara,kabupaten,Nusa Tenggara Barat,-8.35,116.1667,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Sumbawa,kabupaten,Nusa Tenggara Barat,-8.5,117.4333,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Sumbawa Barat,kabupaten,Nusa Tenggara Barat,-8.75,116.85,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Alor Kalabahi,kabupaten,Nusa Tenggara Timur,-8.2167,124.5167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Ende,kabupaten,Nusa Tenggara Timur,-8.8432,121.6623,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Kupang,kota,Nusa Tenggara Timur,-10.1772,123.607,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Manggarai Barat Labuan Bajo,kabupaten,Nusa Tenggara Timur,-8.5,119.8833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Ngada Bajawa,kabupaten,Nusa Tenggara Timur,-8.7,120.9667,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Rote Ndao,kabupaten,Nusa Tenggara Timur,-10.7333,123.0667,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Sikka Maumere,kabupaten,Nusa Tenggara Timur,-8.6167,122.2167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Sumba Barat,kabupaten,Nusa Tenggara Timur,-9.6667,119.4167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Sumba Timur,kabupaten,Nusa Tenggara Timur,-9.65,120.2667,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Timor Tengah Selatan Soe,kabupaten,Nusa Tenggara Timur,-9.8667,124.2833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Biak Numfor,kabupaten,Papua,-1.1833,136.0833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Jayapura Sentani,kabupaten,Papua,-2.5667,140.5167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Keerom Waris,kabupaten,Papua,-3.2833,140.75,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kepulauan Yapen Serui,kabupaten,Papua,-1.85,136.25,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Jayapura,kota,Papua,-2.5333,140.7167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Mamberamo Raya Kasonaweja,kabupaten,Papua,-2.0,138.1667,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Sarmi,kabupaten,Papua,-1.8667,139.35,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Supiori Sorendiweri,kabupaten,Papua,-0.7333,135.6,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Waropen Botawa,kabupaten,Papua,-2.4,136.5,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Fakfak,kabupaten,Papua Barat,-2.9167,132.3,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kaimana,kabupaten,Papua Barat,-3.6667,133.75,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Manokwari,kabupaten,Papua Barat,-0.8667,134.0833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Manokwari Selatan Ransiki,kabupaten,Papua Barat,-1.5,134.1833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Pegunungan Arfak Anggi,kabupaten,Papua Barat,-1.3667,133.9167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Teluk Bintuni,kabupaten,Papua Barat,-2.1333,133.5333,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Teluk Wondama Rasiei,kabupaten,Papua Barat,-2.7,134.5,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Sorong,kota,Papua Barat Daya,-0.8833,131.25,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Maybrat Kumurkek,kabupaten,Papua Barat Daya,-1.25,132.5,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Raja Ampat Waisai,kabupaten,Papua Barat Daya,-0.4333,130.8167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Sorong Aimas,kabupaten,Papua Barat Daya,-0.9667,131.3333,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Sorong Selatan Teminabuan,kabupaten,Papua Barat Daya,-1.45,132.0167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
